year,month,day,hour,min,sec,lon,lat,depth,mag
1952,1,31,2,38,4.09,176.54,-40.29,12,4.659
1952,2,5,10,51,44.19,166.07,-45.06,12,4.247
1952,2,20,13,43,24.31,177.74,-39.44,33,3.915
1952,2,27,9,49,43.7,174.52,-41.15,12,4.595
1952,3,4,22,56,3.59,172.68,-40.92,12,4.425
1952,3,6,4,19,24.11,176.58,-40.1,12,3.533
1952,3,6,21,52,48.29,174.83,-40.24,12,3.779
1952,3,7,19,44,46.99,174.91,-40.36,12,3.65
1952,3,11,16,57,34.89,173.89,-42.58,12,4.367
1952,3,14,7,23,37.92,178.77,-37.77,33,3.711
1952,3,14,10,10,40.81,175.81,-41.45,33,3.874
1952,3,16,2,20,44.52,176.08,-41.21,33,3.507
1952,3,21,12,45,54.65,177.38,-40.76,12,3.677
1952,3,22,1,26,22.27,172.34,-40.95,12,3.66
1952,3,23,9,8,33.98,176.47,-38.46,12,3.558
1952,3,23,23,9,50.91,174.7,-40.18,12,3.762
1952,3,25,23,56,39.81,172.82,-42.4,12,3.125
1952,4,1,0,16,49.11,176.36,-40.7,12,3.099
1952,4,3,4,43,5.49,173.02,-39.79,33,3.966
1952,4,7,18,5,10.49,177.85,-38.44,33,4.221
1952,4,8,5,5,3,176.45,-40.41,12,3.728
1952,4,9,14,8,34.69,177.12,-40.55,12,4.965
1952,4,10,1,57,58.71,171.42,-41.72,12,3.65
1952,4,13,4,22,50.12,174.72,-40.14,12,3.813
1952,4,20,9,26,28.92,172.25,-41.24,12,3.201
1952,4,24,20,17,27.07,173.73,-41.81,12,4.163
1952,4,27,19,13,51.59,174.48,-41.02,33,3.426
1952,5,2,12,3,48.73,174.66,-37.05,12,3.966
1952,5,4,13,23,36.06,173.97,-38.87,33,3.474
1952,5,5,19,59,34.24,175.46,-39.79,33,4.061
1952,5,7,4,43,1.4,173.82,-41.11,12,3.915
1952,5,7,5,58,40.54,172.87,-42.06,33,3.592
1952,5,15,10,3,47.56,167.68,-43.96,12,4.731
1952,5,20,6,22,21.04,178.45,-38.32,12,3.915
1952,5,20,8,26,46.59,168.51,-43.01,12,3.881
1952,5,24,18,23,6.79,174.74,-40.82,33,3.575
1952,5,25,4,17,21.25,173.49,-41.5,33,3.38
1952,5,30,10,22,17.9,175,-39.11,33,3.847
1952,5,31,17,6,43.93,172.51,-41.12,12,3.66
1952,6,7,0,23,0.31,176,-39,33,3.936
1952,6,7,7,53,13.35,177.56,-38.61,33,3.686
1952,6,7,23,56,27.86,176.42,-39.76,12,3.83
1952,6,9,15,19,57.88,172.49,-41.25,12,3.533
1952,6,15,2,6,32.71,177.06,-38.81,33,3.201
1952,6,15,18,54,35.69,172.07,-41.2,12,3.431
1952,6,20,4,57,2.39,177.63,-37.47,12,4.119
1952,6,26,23,33,16.2,173.97,-40.75,33,3.528
1952,6,28,13,4,7.88,172.07,-41.83,12,3.38
1952,7,3,9,52,2.05,176.27,-38.59,12,3.752
1952,7,10,13,52,19.54,173.79,-41.35,33,3.779
1952,7,14,22,18,15.4,173.02,-42.31,33,3.482
1952,7,15,10,13,34.18,174.41,-41.38,12,3.474
1952,7,18,9,54,1.88,177.11,-39.9,12,3.976
1952,7,19,10,49,3.64,174.12,-40.99,12,3.711
1952,7,26,3,49,48.7,172.72,-42.22,33,3.405
1952,7,28,16,15,13.13,172.82,-41.86,33,3.66
1952,8,2,3,5,45.54,179.26,-36.96,12,5.241
1952,8,9,11,46,26.3,176.31,-40.21,12,4.221
1952,8,10,4,39,55.3,174.93,-41.37,33,3.507
1952,8,17,5,7,48.82,173.16,-42.85,33,3.252
1952,8,19,3,7,40.27,170.94,-43.1,12,4.068
1952,8,19,7,5,46.35,175.5,-37.9,33,3.4
1952,8,28,10,40,12.421,177.191,-40.08,12,5.593
1952,8,28,19,40,46.53,172.56,-41.88,12,3.385
1952,9,2,1,13,49.16,167.39,-45.01,12,4.306
1952,9,3,9,39,12.7,176.42,-39.39,33,3.354
1952,9,10,19,38,7.49,177.77,-39.23,33,3.834
1952,9,10,22,42,43.41,178.3,-39.81,33,3.864
1952,9,13,1,46,44.78,175.13,-40.24,12,3.487
1952,9,14,13,46,37.61,173.96,-41.96,12,4.153
1952,9,14,21,14,42.48,174.02,-41.18,12,4.847
1952,9,23,4,58,6.41,174.04,-41.77,12,4.187
1952,9,23,7,10,44.08,175.3,-41.77,12,3.711
1952,10,1,15,29,23.39,177.79,-38.15,33,4.149
1952,10,6,8,19,49.69,174.3,-41.52,12,3.886
1952,10,12,11,30,13.58,173.92,-41.33,33,3.487
1952,10,13,21,21,28.3,176.85,-39.96,12,4.085
1952,10,14,8,10,40.3,172.56,-41.03,12,3.575
1952,10,24,23,39,54.86,172,-41.42,12,4.061
1952,10,26,8,15,25.11,174.36,-38.75,33,3.262
1952,10,26,20,20,29,174.02,-40.82,33,3.38
1952,10,27,5,25,0.7,176.37,-41.52,33,3.344
1952,11,2,13,30,38.42,170.8,-43.19,12,4.745
1952,11,8,7,58,20.92,177.97,-39.3,33,4.251
1952,11,14,3,25,21.7,176.12,-39.34,33,3.643
1952,11,14,10,7,7.11,176.6,-39.67,12,4.265
1952,11,22,20,43,42.24,166.31,-45.14,33,4.445
1952,11,23,11,54,5.58,175.75,-41.16,12,3.966
1952,12,4,18,58,24.5,177.41,-37.25,12,4.513
1952,12,6,13,42,13.51,176.59,-38.48,12,3.901
1952,12,7,10,6,42.24,175.02,-41.37,33,3.983
1952,12,14,21,8,24.77,172.57,-42,33,3.609
1952,12,20,7,33,18.8,175.7,-41.32,33,3.558
1952,12,23,7,20,26.71,167.62,-45.07,33,4.799
1952,12,30,0,28,6.42,172.8,-40.99,12,3.67
1952,12,30,16,30,21.19,173.41,-42.72,12,3.364
1953,1,3,13,10,25.6,172.74,-41.8,33,3.575
1953,1,5,10,32,1,176.87,-39.7,12,4.411
1953,1,7,10,37,9.79,174.09,-41.13,33,3.609
1953,1,8,4,44,50.17,174.33,-40.45,12,3.711
1953,1,8,15,55,22.49,172.75,-43.75,33,3.4
1953,1,10,5,5,55.74,176.74,-39.47,12,4.353
1953,1,10,17,27,17.9,177.37,-37.78,12,3.732
1953,1,12,7,8,34.41,177.4,-39.26,12,4.557
1953,1,14,1,43,59.85,176.86,-37.83,12,5.125
1953,1,17,1,20,17.89,176.63,-39.89,12,3.784
1953,1,17,22,19,27.41,173.88,-41.79,12,3.799
1953,1,23,12,54,55.67,168,-46.5,12,4.3
1953,1,24,15,35,44,176.49,-39.48,33,3.901
1953,1,27,5,38,8.68,176.5,-40.05,33,3.711
1953,2,7,7,40,31.28,165.82,-46.03,33,4.986
1953,2,7,13,37,56.46,178.7,-38.67,33,4.391
1953,2,10,11,40,59.58,172.6,-40.87,15,4.068
1953,2,23,4,52,44.38,172.25,-41.02,12,3.235
1953,2,26,4,57,28.33,172.78,-41.05,4,3.507
1953,2,26,14,31,37.4,173.78,-40.64,33,3.609
1953,2,28,6,41,26.01,172.55,-41.2,5,3.337
1953,3,1,11,10,33.11,172.84,-40.91,12,3.133
1953,3,2,11,9,24.39,174.44,-41.04,12,3.303
1953,3,3,15,33,19.45,176.47,-38.59,12,3.956
1953,3,3,16,7,9.72,174.15,-41.17,33,3.839
1953,3,3,18,16,10.33,171.13,-41.79,33,3.431
1953,3,4,16,14,1.5,178.51,-38.56,33,3.997
1953,3,5,21,2,35.01,170.77,-43.24,33,4.374
1953,3,14,11,25,31.9,178.62,-37.92,33,4.099
1953,3,21,7,5,32.19,172.55,-41.02,5,3.575
1953,3,21,20,24,17.49,176.17,-40.17,33,3.575
1953,3,23,12,39,0.46,171.52,-43.45,33,3.456
1953,3,25,7,14,5.96,175.94,-41.1,33,4.595
1953,3,26,8,32,22.47,176.75,-38,12,3.548
1953,3,28,9,40,24.93,176.32,-39.38,33,3.548
1953,3,28,16,3,38.49,175.2,-40.34,33,3.725
1953,3,31,1,51,4.03,172.92,-42.51,33,3.329
