Year,Mo,Da,Ho,Mi,Se,Lat,Lon,Depth,Mw
1984,4,30,22,39,52.48,43.2393,12.5657,8.4,4.31
1981,5,3,21,39,11.8,41.7063,12.5212,8.2,3.55
1980,3,15,16,39,0,42.7833,13,8,4.04
2012,5,29,14,39,40.28,44.8907,11.0278,8,4.01
2017,2,4,2,39,13.23,42.9797,13.0463,7.5,3.52
1972,2,5,22,39,57,43.7833,13.1667,7,4
1986,6,2,3,39,8.88,44.421,10.7772,6.8,3.65
2012,5,20,2,39,7.41,44.8813,11.227,6.6,4.09
1990,9,3,18,39,23.24,37.7295,14.9907,5.6,3.53
2016,12,23,23,39,22.57,42.4788,18.5358,5.1,4.14
1976,9,25,14,39,52,43,13.3167,5,3.68
1976,9,15,3,39,19,46.3833,13.1833,5,3.53
1997,10,7,2,39,16.2,43.0277,12.8592,4.8,3.66
1985,8,16,19,39,34.89,44.5705,9.6212,4.3,3.99
1995,7,6,15,39,36.82,45.8555,11.1737,2.5,3.58
1990,3,16,13,39,12.08,37.6507,15.0227,2.2,4.04
2009,5,1,21,39,36,42.8,17.4,2,3.77
1977,5,14,3,39,22,43.15,16.05,0,4.95
1984,4,22,17,39,21,43.5587,10.2292,0,4.61
1965,5,29,13,39,46,42.8667,12.8,0,4.54
1974,2,28,13,39,49,37.7333,15.0333,0,4.44
1974,1,27,10,39,24,37.75,15,0,4.34
1968,1,21,2,39,0,37.8,13.2,0,4.24
1983,1,3,0,39,55.06,41.0688,14.5518,0,4.05
1974,9,29,6,39,6,45.05,8.8167,0,4.04
1984,9,24,5,39,53.46,41.3667,14.5768,0,3.88
1980,11,24,12,39,37,40.9752,15.3628,0,3.87
1984,1,5,12,39,38,40.1505,15.684,0,3.87
2002,10,27,2,39,12.29,37.746,15.107,0,3.86
1974,6,7,13,39,2,44.6,9.9333,0,3.84
1976,10,13,7,39,43,46.4333,13.2,0,3.84
1996,10,16,10,39,59.73,44.8133,10.6772,0,3.84
1960,12,2,8,39,16,37.9333,15.8167,0,3.74
1975,11,23,4,39,4,40.7667,15.8833,0,3.74
1963,1,1,14,39,11,41.1333,15.1167,0,3.64
1968,1,18,14,39,57,37.8,13,0,3.64
1976,9,18,0,39,40,46.35,13.0167,0,3.63
1976,5,7,6,39,26,46.45,13.3,0,3.57
1975,9,7,20,39,8,46.7833,9.7,0,3.54
1986,10,7,3,39,49.8,37.6853,15.0322,0,3.54
1991,12,9,14,39,5.47,39.621,16.8902,0,3.54
1967,6,22,14,39,33,46.15,12.6,0,3.5
1969,4,2,1,38,1,38.9667,15.2333,263,4.79
2017,8,11,2,38,34,39.2918,15.8505,229.8,4.4
1967,2,23,22,38,54,43.85,16,63,5.15
1991,11,2,16,38,26.29,38.3595,17.5457,60.3,3.85
1980,6,4,9,38,41,38.769,14.206,42,3.93
1978,9,16,13,38,53,38.5833,14.35,41,3.64
2014,9,26,23,38,10.59,36.7422,16.4352,39.1,4.16
1978,4,16,4,38,13,38.35,15.0833,38,3.84
1978,12,30,10,38,46,44.9167,11.1833,37,3.66
1980,11,23,20,38,31,41.1436,15.3451,33,3.88
2008,3,19,14,38,57.72,41.898,15.858,31.6,4.18
2002,10,19,16,38,44.75,38.4145,13.678,30.4,3.56
2005,7,10,13,38,50.88,37.837,14.989,28.8,3.52
1970,8,10,16,38,41,43.94,16.03,27,4.16
2007,4,16,7,38,53,41.2,19.9,26,4.85
2005,5,12,1,38,5,47.264,7.651,24,3.61
1976,9,15,4,38,53,46.2667,13.1667,21,4.81
2019,7,8,4,38,28.62,37.6667,14.8932,21,4.03
2002,3,13,22,38,0.48,38.5643,14.7527,19.5,3.68
1999,6,7,20,38,51.25,40.3008,19.2342,18.3,3.98
2011,7,4,9,38,33.1,38.566,13.127,17.4,3.52
1992,1,13,0,38,33.05,41.8343,10.8557,16.7,3.6
1997,10,2,21,38,42.65,43.611,12.15,15.1,4.56
2010,4,10,8,38,8.1,35.99,6.23,15,4.38
1966,10,20,9,38,34,44,12.2,15,4.36
1998,3,2,4,38,17.06,39.165,16.4958,14.9,3.58
2017,10,26,22,38,35.07,40.3133,15.7043,14.2,3.97
1996,4,27,0,38,26.81,39.4933,16.4543,13.8,4.7
2005,6,11,3,38,53.74,40.507,19.661,13.5,4.01
2014,10,17,2,38,59.98,43.7598,11.9247,13.2,3.65
2018,5,21,12,38,35.47,42.6182,13.3148,13.1,3.51
1967,3,24,17,38,14,46.5,7.45,13,4.36
2005,6,28,23,38,7.1,35.822,11.721,12.5,3.55
1979,4,28,3,38,2,42.15,18.8167,12,4.92
1998,3,27,20,38,33.89,37.1713,16.0163,11.9,3.58
1992,6,14,5,38,9.4,44.4135,10.3593,11.6,3.79
2015,12,6,17,38,49.92,42.3753,15.217,11.1,3.62
1990,4,11,21,38,34.17,44.69,9.957,10.8,3.98
2016,10,30,7,38,59.03,42.6822,13.1567,10.7,4.09
2009,7,12,8,38,51.37,42.328,13.379,10.1,4.35
1988,8,23,17,38,47.5,43.7,17.44,10,4.64
1985,12,25,2,38,59.95,37.8792,15.2403,10,4.55
1984,5,11,13,38,58.72,41.4613,14.127,10,4.53
2009,4,6,16,38,9.73,42.363,13.339,10,4.44
2016,3,31,15,38,37,37.65,19.83,10,4.05
2010,10,19,0,38,30.2,47.28,11.662,10,3.92
1996,8,24,2,38,26.26,46.9897,9.1737,10,3.71
1968,9,6,20,38,30,44.2333,8.2,10,3.64
2009,3,30,13,38,38.96,42.321,13.376,9.8,4.36
2016,8,24,4,38,9.82,42.6287,13.2225,9.5,3.59
2009,4,9,19,38,16.96,42.504,13.35,9.3,5.21
2016,9,30,19,38,37.62,42.8948,13.2468,9.3,3.63
2017,4,23,5,38,58.66,42.5653,13.3323,9.3,3.58
2002,4,6,6,38,20.68,39.2173,16.663,9.2,4.08
1994,10,8,14,38,56.66,41.9638,13.8682,9.2,3.55
1969,10,9,7,38,38,45.8333,14.1667,9,3.8
2010,7,4,11,38,58.26,42.177,13.4,9,3.75
2009,4,6,1,38,47.45,42.365,13.327,8.9,3.66
2009,6,30,0,38,10.46,42.565,13.188,8.5,3.59
2014,2,13,4,38,16.1,42.698,13.1225,8.2,3.62
1975,6,18,15,38,26,46.4,13.8,8,4
2012,5,29,8,38,6.35,44.868,10.954,7.7,3.65
1998,12,5,4,38,2.92,37.6007,15.0892,7.6,3.98
2017,2,6,23,38,56.17,42.9765,13.0328,7.5,3.76
1966,4,7,19,38,58,44.3,7.4,7,4.16
1968,4,18,19,38,15,44.0833,8.0167,7,4.07
1972,2,5,3,38,43,43.6167,13.5667,7,3.54
2021,1,12,16,38,35.19,37.8145,14.3517,6.3,3.73
1971,7,20,17,38,45,41.4,13.9833,6,4.14
1972,11,30,13,38,23,44.25,9.45,5,3.64
2014,9,21,17,38,13.89,39.162,18.8217,5,3.63
2012,5,20,17,38,14.38,44.8798,11.2532,3.7,4.78
1998,4,26,5,38,5.59,40.6378,15.8292,3.6,3.66
1982,6,3,11,38,9.41,44.3795,7.355,3.5,3.55
2004,3,23,12,38,30.5,43.29,19.73,3,4.25
1987,7,3,17,38,2.66,43.1912,13.8802,1.9,4.42
1992,7,16,5,38,53.83,42.3012,14.2082,1.5,4.22
1973,8,18,22,38,29,37.6667,15.1667,1,3.9
1997,10,2,19,38,2.29,43.6277,12.172,0.9,4.42
1989,10,6,17,38,25.75,42.1185,15.6815,0.1,4.59
1984,5,11,13,38,31.43,43.294,12.6213,0,4.86
1990,5,5,7,38,11.02,40.6588,15.8803,0,4.81
1968,3,30,13,38,8,37.7667,12.8333,0,4.74
1964,6,23,6,38,49,43.5,14.5,0,4.68
1968,3,4,23,38,0,38,13,0,4.46
1968,1,15,15,38,0,37.8,13,0,4.44
1973,4,23,13,38,42,44,12.7,0,4.36
1960,4,30,1,38,36,44.1667,11.75,0,4.3
1960,12,8,5,38,9,43.75,12.5,0,4.3
1994,6,2,17,38,13.82,42.4763,13.2265,0,4.29
1967,9,18,7,38,35,37.5,18.6,0,4.26
1968,1,15,15,38,36,37.8,13,0,4.23
1991,1,14,7,38,36.65,43.7812,11.853,0,4.22
1968,6,22,12,38,7,45.9,11.6,0,4.2
1965,10,1,18,38,30,39.25,16.25,0,4
2001,6,16,6,38,42.1,43.0932,18.7095,0,3.91
1986,1,23,17,38,55.77,43.1245,12.8165,0,3.82
1968,1,22,21,38,20,37.8,13,0,3.74
1972,4,22,10,38,52,46.8167,12.7667,0,3.73
1962,8,31,15,38,43,42.7,13,0,3.7
2000,4,4,13,38,17.21,37.7583,14.9698,0,3.66
1991,12,14,21,38,43.66,41.1825,15.1043,0,3.57
1962,3,25,21,37,59,39.1167,14.4833,338,5.74
1980,3,16,8,37,0,37.05,12.9667,77,4.02
1987,3,3,5,37,47.18,43.9802,11.2035,57.8,3.51
2009,3,23,20,37,47.29,39.225,16.071,57.6,4.03
2000,4,26,13,37,49.98,41.0265,10.0717,53,4.77
1987,3,29,3,37,21.64,44.111,12.3215,42,3.75
1973,8,8,14,37,26,40.65,15.5167,40,4.74
2018,4,8,14,37,33.2,39.1102,19.9592,38.2,4.1
1999,6,2,10,37,0.16,38.5425,14.0102,33.1,4.16
1978,4,15,23,37,47,38.3963,15.2205,33,4.68
1976,4,3,4,37,9,38.7167,16.9167,33,4.34
1980,11,24,12,37,5,40.9299,15.0494,33,3.89
2017,6,20,1,37,12.66,44.2038,11.5167,27.6,4.14
1966,11,22,3,37,17,44.5667,6.8833,25,3.64
1968,5,19,9,37,30,38.7,15.5,24,4.85
2017,3,10,13,37,54.77,39.0287,15.4412,23.6,3.73
1984,6,23,0,37,3.06,39.4845,16.668,23.1,4.1
2019,5,22,14,37,36.03,44.8467,9.9272,23,3.58
2017,11,19,12,37,44.7,44.6603,10.0337,22.4,4.6
1980,6,5,13,37,9,38.4833,14.2667,22,4.04
2002,11,2,2,37,1.42,41.758,14.8412,21.2,4.06
1980,11,23,19,37,45,40.7667,15.3667,21,4.83
2010,11,21,10,37,15.4,38.629,13.484,20.8,3.54
2011,11,3,14,37,10.29,38.427,14.58,20.7,3.54
2013,2,3,3,37,15.98,43.1902,18.9278,20,3.99
2008,12,23,23,37,6,44.582,10.256,19.4,4.09
2011,12,14,12,37,24,47.41,13.51,19,3.72
2019,1,1,18,37,46.96,41.8777,13.5488,16.5,4.3
1996,9,24,19,37,13.04,44.2092,7.2297,16.5,3.52
2021,6,22,16,37,4.14,41.7457,13.6108,15.8,3.61
2002,12,18,0,37,28.44,41.7917,14.0955,14.6,3.66
1988,2,4,19,37,18.77,47.003,14.66,14,4.39
1976,9,27,14,37,31,46.25,13.1333,14,3.63
2006,11,24,4,37,39.73,36.232,15.796,11.7,4.43
2017,1,18,10,37,46.15,42.507,13.2653,11.7,3.76
2016,8,28,15,37,38.97,42.7718,13.1198,11.5,3.65
2016,8,28,6,37,19.79,42.7215,13.1973,11.2,3.52
1984,5,12,22,37,55.7,41.7065,13.8822,10.8,3.68
2012,2,26,22,37,55.92,44.502,6.759,10.4,4.41
1990,11,27,4,37,57.1,43.87,16.63,10,5.54
2013,10,21,19,37,0,35.6,10.93,10,4.48
2006,9,27,0,37,9.39,42.184,19.739,10,3.99
1995,10,7,1,37,33.16,46.8225,7.225,10,3.74
2008,6,21,15,37,27.06,37.297,11.123,10,3.67
2003,6,5,0,37,55.2,43.194,15.325,10,3.62
2004,11,25,17,37,2.7,43.215,15.344,10,3.62
1988,3,16,16,37,23.28,36.5007,14.4042,10,3.51
2017,1,18,14,37,49.74,42.4967,13.3692,9.8,3.71
2013,3,19,8,37,4.64,37.9813,14.5222,9.5,3.57
2021,3,3,4,37,14.71,45.3678,16.0253,9.4,4.19
2016,10,30,8,37,4.22,42.7405,13.261,9.3,3.87
2016,6,23,14,37,56.19,44.1603,9.9227,9.1,4.05
2016,7,4,11,37,22.79,44.9287,11.2905,9.1,3.55
2016,8,24,1,37,26.58,42.7123,13.2533,9,4.04
1976,9,15,9,37,29,46.35,13.1667,9,3.84
1979,10,4,10,37,27,42.7667,13.1,9,3.61
2017,2,3,23,37,43.12,42.6125,13.3007,8.9,3.67
2016,10,27,1,37,5.14,42.8442,13.1603,8.9,3.59
2009,4,6,2,37,4.25,42.36,13.328,8.7,5.07
2016,10,30,7,37,20.23,42.8837,13.1027,8.7,3.78
2017,8,9,11,37,5.23,45.1307,14.7328,8.6,4.13
2013,12,22,1,37,0.54,43.3772,12.5197,8.4,3.69
2014,12,19,18,37,1.8,43.6097,11.2005,8.3,3.55
2016,11,2,19,37,49.65,42.8767,13.0605,8.2,3.96
1972,12,10,18,37,56,45.7,14.2,8,3.5
2016,10,31,8,37,33.58,43.0252,13.0812,7.8,3.6
2020,1,16,23,37,9.76,39.0733,16.6207,7.7,4.02
2019,12,9,3,37,3.94,44.0047,11.3192,7.3,4.7
1978,4,19,16,37,1,38.2,15.0833,7,4.04
1967,9,5,11,37,4,45.5833,14.4167,7,3.97
2002,6,2,13,37,18.81,45.6113,14.2402,6.6,3.93
1985,5,19,6,37,20.83,42.2838,13.3363,5.7,3.92
2012,5,20,2,37,48.68,44.8882,11.1403,5.5,3.78
2012,5,20,17,37,14.14,44.8653,11.305,5.4,4.47
1977,8,27,17,37,40,42.8833,12.4667,5,3.79
2004,7,14,4,37,39,46.297,13.535,5,3.62
1987,7,6,3,37,23.42,43.2125,13.8118,4.9,3.58
2002,12,27,10,37,18.42,37.7922,15.1468,4.9,3.56
2007,3,29,4,37,29.89,42.829,13.202,4.4,4.08
1961,10,31,13,37,18,42.4167,13.0833,4,4.64
2012,5,21,16,37,31.36,44.8657,11.3055,3.6,4.12
2000,4,27,8,37,5.54,37.0498,14.9037,2.9,3.98
1981,1,30,22,37,18.32,40.677,15.5632,2.9,3.65
2009,9,15,8,37,40,41.15,19.48,2,4.46
1997,12,1,22,37,4.85,42.8575,12.9783,1.8,3.76
1981,2,27,3,37,31.56,40.7058,15.559,0.1,3.55
1981,1,16,0,37,45.43,40.8903,15.4398,0,5.22
1963,6,13,8,37,40,38.7,14.8,0,4.68
