Year,Mo,Da,Ho,Mi,Se,Lat,Lon,Depth,Mw
1971,8,21,3,59,4,39.6667,12.8167,488,4.16
2014,8,27,16,59,3.89,39.5493,15.8482,273.8,3.88
2020,12,17,15,59,22.5,45.4738,9.1548,55.1,3.91
1999,11,28,0,59,47.7,41.55,19.38,54,4.8
1987,9,9,6,59,48.51,37.8328,15.8068,51.4,3.54
1978,11,16,9,59,47,42.4333,12.9333,41,4.52
1972,6,25,4,59,17,43.9648,15.9927,39,4.29
1988,4,28,15,59,3.33,42.3158,16.6425,38.1,3.63
1998,9,24,3,59,4.73,46.0743,14.6358,34.8,3.56
1964,11,2,22,59,39,44.1667,11.4,33,4.19
1999,9,18,11,59,57.25,38.4668,15.8102,30.1,3.58
2002,7,9,3,59,1.73,44.397,10.6958,29.4,3.7
2019,10,31,6,59,0.14,38.8938,17.5447,27.3,4.27
1986,11,25,13,59,42.1,44.14,16.41,27,5.54
2005,6,30,9,59,6.85,38.61,13.387,24.4,3.61
1974,11,3,22,59,18,44.4,12.2,22,3.84
1998,2,20,0,59,8.42,38.459,15.0937,21.5,3.68
2007,9,28,6,59,23.42,43.225,15.468,20.7,3.66
1976,5,6,19,59,6,46.2667,13.2833,20,4.54
2002,11,2,23,59,10.79,41.7463,14.919,19.8,3.56
2013,9,12,9,59,23.92,38.6343,18.0262,19.5,3.55
2020,8,18,15,59,49.95,39.1518,17.3388,18.9,3.78
1971,6,6,21,59,9,44.6667,6.7,17,4.49
1980,11,25,9,59,32,41.0167,14.9667,17,3.81
2017,12,14,1,59,20.82,36.5133,14.6427,16,3.67
2017,1,21,10,59,28.16,42.4577,13.2857,16,3.61
1990,9,12,2,59,44.87,42.7335,12.6885,14.1,3.93
1977,6,5,13,59,18,37.8833,14.45,14,4.61
1990,3,22,10,59,53.88,37.6633,14.9963,13.8,3.71
1998,6,21,12,59,3.81,38.57,12.7315,13.5,4.63
1997,6,26,22,59,47.12,38.47,17.5215,13.4,3.76
2016,10,30,6,59,45.45,42.8308,13.1903,12.5,3.66
2016,11,1,17,59,13.06,42.804,13.1312,10.5,3.63
2016,10,30,7,59,17.15,42.7867,13.0865,10.3,3.55
2016,10,30,8,59,8.89,42.8832,13.0563,10.3,3.53
2016,8,24,11,59,59.84,42.8332,13.1435,10.2,3.63
2020,7,4,7,59,39.5,35.63,6.31,10,4.33
1993,7,10,8,59,9.84,47.28,10.2263,10,4.28
1986,1,8,0,59,22.96,42.7123,15.4803,10,4.08
2016,10,30,6,59,31.4,42.8812,13.142,10,3.97
2013,12,12,0,59,19.86,47.0163,9.4957,10,3.66
1971,6,22,0,59,44,46.2667,8.0333,10,3.64
2011,1,3,7,59,28.64,43.211,18.664,10,3.63
2003,5,1,22,59,27.3,43.148,15.426,10,3.62
1971,7,26,20,59,10,44.7833,10.4667,10,3.54
1988,4,26,22,59,23.5,42.0222,16.6112,10,3.54
2009,5,11,16,59,4.05,42.489,13.377,9.7,3.56
2007,1,1,14,59,45,46.46,14.15,9,3.96
2016,11,12,12,59,18.71,42.9972,13.1378,9,3.75
2016,10,31,2,59,14.83,42.6125,13.2917,9,3.52
2016,11,3,11,59,17.71,42.908,13.2137,8.8,3.62
2016,6,3,9,59,50.71,36.1657,13.026,8.6,4.09
1994,1,20,6,59,13.49,44.5543,7.34,8.5,4.33
1984,9,23,5,59,15.38,41.7887,13.8715,8.5,3.71
2011,11,15,4,59,0.36,38.274,14.671,8.4,4.25
2012,5,20,10,59,17.57,44.875,11.3315,8.4,3.61
1997,10,2,10,59,56.53,43.1052,12.7782,8.2,4.36
2012,6,15,8,59,44.09,44.8487,11.2373,8,3.69
2005,4,18,10,59,18.56,44.724,9.348,7.8,3.97
2021,6,8,3,59,51.49,43.6172,16.121,7.2,4.33
2016,8,24,2,59,35.24,42.7987,13.1313,6.7,4.09
1986,3,23,13,59,23.09,44.3357,6.4797,6.6,3.58
2003,5,31,5,59,14,45.877,15.158,6,3.63
2004,11,24,22,59,38.6,45.685,10.521,5.4,4.99
2004,12,15,6,59,20.7,36.338,15.59,5,3.88
1981,10,18,8,59,37.29,37.9577,16.042,4.7,3.5
2003,5,6,21,59,43,46.894,8.912,4,3.58
1998,4,3,7,59,52.87,43.1935,12.7552,3.9,4.28
1996,7,18,23,59,13.06,40.611,15.5745,2.7,3.6
2014,5,19,0,59,20,40.95,19.82,2,5.05
2014,4,17,14,59,16.83,47.5337,15.4665,2,3.79
1990,5,5,19,59,57.78,40.6498,15.835,1.6,4.08
1994,10,12,4,59,11.84,39.6675,15.3838,0.1,4.49
1992,4,17,11,59,7.29,44.4327,11.0117,0.1,4.15
1968,1,15,14,59,50,37.8,13.2,0,4.79
1989,12,26,19,59,58.01,43.6338,7.6763,0,4.46
1998,2,7,0,59,44.54,43.0048,12.8227,0,4.41
1998,7,7,1,59,51.21,39.2523,17.6155,0,4.16
1969,1,20,5,59,33,43.0333,15.2667,0,4.14
1990,5,5,7,59,32.73,40.6573,15.7947,0,3.87
1997,10,12,12,59,59,42.8677,12.9665,0,3.86
1971,4,10,2,59,45,45.1167,10.85,0,3.84
1963,7,26,8,59,34,42.5,12.9167,0,3.8
1974,3,13,9,59,32,45,11,0,3.8
1979,10,11,8,59,2,42.6833,12.9667,0,3.76
1963,7,19,5,59,54,43.3,8.2,0,3.74
1974,12,4,17,59,46,42.8167,12.9,0,3.74
1960,12,12,21,59,18,43.75,12.8333,0,3.7
1975,4,1,15,59,35,43.783,11.333,0,3.63
1998,8,27,6,59,27.52,37.553,14.9432,0,3.58
1974,3,25,10,59,30,43.6333,13.8167,0,3.54
1980,6,2,9,59,15,38.302,14.184,0,3.53
1990,11,9,10,59,0.03,43.8318,6.2983,0,3.52
1970,3,9,20,59,31,37.7667,15,0,3.5
2016,10,29,11,58,4.73,39.9507,15.8397,275.5,4.41
2015,8,2,6,58,5.73,39.3998,15.7382,247.3,4.2
1988,7,23,17,58,47.77,38.6617,15.6938,102.2,3.55
1988,4,27,17,58,14.94,42.2315,16.7132,41.6,4.16
1963,7,27,5,58,22,43.5,8.4,33,4.98
1966,10,20,4,58,31,43.2,17.7,33,4.46
2002,10,27,0,58,14.91,37.7457,15.1175,26.8,3.96
2021,2,7,8,58,12.07,37.3747,15.663,26.2,3.58
1979,1,24,10,58,38,42.7333,13.1333,26,3.83
2008,12,14,23,58,56.06,38.724,14.231,25.5,3.52
2006,12,19,14,58,6.5,37.778,14.913,23.8,4.2
2008,12,23,21,58,26.57,44.527,10.355,23.7,4.81
1999,2,13,22,58,21.93,38.2122,15.0155,23,3.98
1978,8,24,4,58,48,38.35,15.05,21,3.64
2014,10,9,22,58,25.97,38.5318,14.7362,20.7,4.09
2013,7,30,12,58,33,45.14,15.08,20,4.42
1997,11,17,6,58,45.32,38.6623,14.511,20,3.96
1976,9,15,4,58,42,46.3,13.15,19,4.54
2020,12,31,20,58,9.76,37.6687,14.9707,16.4,3.64
1978,5,10,18,58,41,38.2333,15.0333,15,3.64
1980,3,1,7,58,57,42.8167,13.0167,14,3.96
2009,6,22,20,58,40.27,42.445,13.354,13.8,4.68
2008,10,11,12,58,30.28,41.967,14.031,13.8,3.59
2019,9,22,12,58,42.8,46.4382,12.9978,12.2,3.62
1970,9,7,20,58,50,43.95,16.08,12,5.4
1979,9,24,5,58,47,45.6333,6.8833,11,3.64
2020,3,20,21,58,6.14,42.4868,13.2963,10.8,3.69
2021,2,24,9,58,29.15,45.4273,16.2003,10.6,4.5
1980,12,2,5,58,13,45.8659,6.1691,10,4.83
2014,4,22,8,58,27.42,45.6223,14.2533,10,4.55
2021,8,16,23,58,56.39,45.4213,16.2218,10,4.04
1978,4,2,2,58,57,37.7832,7.2872,10,3.97
2005,1,14,7,58,11,46.26,14.152,10,3.83
2013,6,21,13,58,26,44.1593,10.1463,10,3.82
1966,9,9,11,58,2,44.1167,9.9667,10,3.8
1972,5,15,11,58,49,41.4667,14.8333,10,3.74
1992,8,20,22,58,9.1,36.3218,12.7565,10,3.59
1976,8,18,5,58,53,46.35,13.1667,10,3.54
2007,8,13,13,58,29.11,45.136,13.401,10,3.51
1984,5,18,9,58,11.8,41.6395,13.7213,9.9,3.54
2016,10,30,11,58,17.46,42.8448,13.0565,9.8,4.22
1981,8,13,2,58,11.2,44.86,17.33,9,5.66
1984,7,8,7,58,47.53,45.6193,12.1468,9,3.54
2011,1,9,10,58,20.44,42.11,13.34,8.4,3.86
2012,5,31,14,58,21.25,44.8663,10.874,8.2,3.91
2013,11,18,7,58,41.05,43.6482,16.9502,8.1,4.37
2017,9,10,19,58,9.89,42.0843,13.3242,8.1,4.06
2017,2,9,9,58,27.01,42.6643,12.6807,8.1,4.02
1982,10,21,6,58,55.22,38.0422,14.801,6.8,3.9
2002,10,27,1,58,13.58,37.7153,14.966,6.4,4.66
2013,12,18,10,58,51.24,43.3715,12.5332,6.4,4.04
2021,1,10,11,58,16.83,45.4052,16.1028,5.7,3.86
1990,10,5,17,58,17.71,38.5478,14.323,5.4,3.64
1977,6,6,17,58,29,41.3,15.4333,5,4.14
2003,7,24,4,58,1.3,41.86,15.657,5,3.68
1986,3,27,8,58,59.53,41.5045,13.8383,4.9,3.76
1985,8,15,18,58,3.78,44.6052,9.6303,4.7,4.45
2010,10,20,3,58,52.54,43.328,13.78,4.7,3.61
1999,6,26,14,58,51.29,37.204,15.9895,4.4,3.66
1995,7,24,16,58,55.34,37.872,15.3618,3.6,3.76
1997,10,23,8,58,43.96,43.0278,12.9235,3.1,3.86
1997,11,20,3,58,55.94,42.8588,12.9867,3,3.66
2007,7,10,11,58,27.79,41.42,15.849,1.8,3.62
2017,7,6,16,58,33.01,46.0248,14.9612,1.8,3.6
1990,5,5,8,58,44.41,40.6565,15.8372,0.1,3.91
1964,2,18,6,58,28,41.1667,15.1667,0,4.57
1970,12,9,15,58,28,40.2,18.9,0,4.36
1972,5,29,19,58,43,43.5,13.8,0,4.36
1963,8,6,1,58,5,43.1667,13.25,0,4.3
1964,7,7,13,58,33,44.4,15.7,0,4.26
1984,10,18,11,58,53.36,37.8813,15.3152,0,4.26
1991,6,15,20,58,30.92,38.7933,17.0497,0,4.23
1976,11,29,20,58,33,46.3833,13.1333,0,4.04
1976,7,15,12,58,51,46.3167,13.15,0,3.89
1962,8,18,8,58,0,42.7333,11.9833,0,3.8
1972,3,17,4,58,37,44.8667,6.65,0,3.74
1964,5,5,3,58,0,47,10.9,0,3.5
2008,12,17,21,57,42.87,39.168,15.586,269.4,5.23
2019,9,9,2,57,47.75,39.3232,15.5903,266,4.41
2015,4,15,16,57,2.53,38.9063,15.4712,256.6,4.4
1990,5,4,6,57,42.12,38.8833,15.8438,102.9,3.66
2005,11,21,10,57,40.23,37.597,14.105,63.2,4.56
1988,3,20,13,57,44.94,42.3177,16.6418,60.3,3.82
1982,4,15,9,57,20.27,43.494,12.245,53.9,3.69
1978,5,17,8,57,51,37.6833,14.9833,39,4.04
2011,12,18,17,57,47.96,35.983,12.635,38,3.64
1977,10,24,3,57,18,38.1167,15.7667,34,3.74
1980,10,6,5,57,5,44.7167,8.7333,31,3.54
2000,5,11,10,57,48.01,44.2498,11.9207,27.7,3.86
1976,11,6,20,57,4,39.5333,18.7833,27,4.64
2000,5,11,11,57,16.32,44.2745,11.9042,26.1,4.16
2001,1,13,8,57,49.95,40.613,18.7135,25.4,3.68
1980,11,25,14,57,56,40.8167,15.4,25,4.61
2002,10,2,22,57,26.83,38.3848,13.6837,24.4,4.85
1980,11,23,22,57,27,40.9333,15.2333,24,4.5
2020,4,18,2,57,27.08,41.8105,15.3912,23.1,3.73
1979,8,4,5,57,35,42.7333,12.5,23,3.62
2002,11,2,10,57,59.77,44.59,12.14,22.8,4.46
2016,1,20,3,57,57.54,36.4763,12.7077,22.2,3.54
1985,11,21,21,57,14.9,41.72,19.32,22,5.51
1976,10,11,16,57,15,46.25,13.2833,22,3.54
2018,1,9,16,57,59.06,38.5002,14.3378,21.6,3.51
2015,7,22,12,57,43.9,44.1562,10.8943,21.5,3.91
2012,8,3,19,57,27,43.98,16.77,20,4.45
1979,6,3,14,57,47,38.2,15.0167,20,4.14
1980,3,16,11,57,40,44.6,6.7,20,3.54
2017,3,25,21,57,46.99,41.5093,14.9933,19.7,3.73
2000,6,16,11,57,23.18,45.9767,10.912,18.6,3.57
1980,12,21,7,57,8,40.7667,15.1333,18,3.64
1977,4,9,10,57,38,44.0833,10.1167,18,3.54
1976,5,11,9,57,30,46.3167,13.1,15,3.82
1983,4,3,10,57,23.48,42.6865,13.0803,14.7,3.5
2020,12,19,10,57,43.12,38.1328,15.9537,14.1,4.11
1994,2,23,23,57,44.41,39.841,16.534,13,3.53
1997,11,1,7,57,44.3,39.5048,16.2885,11.4,3.78
2016,10,30,8,57,55.37,42.7108,13.2188,11.1,3.63
2014,7,11,21,57,58.13,40.4852,15.3927,10.9,3.51
2013,12,15,3,57,34.01,36.6717,15.0343,10.5,4.11
2019,11,26,3,57,53.2,41.5317,19.4152,10.1,4.01
1996,9,9,15,57,5.1,42.77,17.87,10,5.3
1996,2,1,17,57,55.5,37.76,19.86,10,5.29
1984,4,15,10,57,12.47,46.8508,14.2007,10,4.78
2021,10,6,19,57,33.27,43.6158,16.9653,10,4.48
1995,11,16,5,57,22.16,47.1537,8.5937,10,4.18
1996,6,28,9,57,51.42,47.1515,9.9883,10,4.08
2021,4,19,22,57,12.53,47.7187,16.1435,10,4.05
1990,10,19,7,57,21.77,37.766,14.1528,10,3.87
1986,6,21,22,57,27.1,44.3072,12.3272,10,3.76
1970,6,14,11,57,38,44.0833,11.8167,10,3.64
1972,11,13,13,57,29,40.7667,13.6667,10,3.64
2003,4,30,18,57,28.2,43.165,15.415,10,3.58
2001,2,1,21,57,47.02,44.4552,9.947,9.8,3.79
2016,10,30,6,57,21.57,42.8612,13.0923,9.5,3.86
2000,6,22,13,57,52.44,43.11,12.8867,9,4.68
1980,10,1,0,57,38,41.6833,13.1667,9,4.18
1999,9,28,0,57,4.77,38.6665,16.2355,8.9,3.58
2012,6,3,17,57,52.78,44.8815,10.9737,8.6,3.93
2017,3,14,15,57,13.1,42.9148,13.1483,8.5,3.58
2013,4,20,7,57,41.08,43.448,12.3002,8.4,3.59
2019,6,14,13,57,23.24,46.3977,12.9973,8,3.9
2016,8,24,4,57,37.16,42.8502,13.0405,7.6,3.68
2018,9,11,21,57,13.78,42.9475,13.1785,7.6,3.53
1995,12,28,21,57,13.02,39.5707,16.4673,7.5,3.99
1985,5,14,2,57,54.07,38.223,15.6157,7.5,3.54
2016,11,10,15,57,33.57,42.9757,13.0515,7.1,3.53
1961,4,10,6,57,50,42.0167,13.05,7,4.24
2016,2,8,17,57,38.07,36.9843,14.8428,6.8,3.75
2003,1,26,19,57,3.2,43.883,11.96,6.5,4.67
2020,12,29,17,57,32.38,45.4028,16.161,6.3,3.91
1998,1,19,4,57,41.4,37.5838,14.9587,6.1,3.68
1974,1,28,19,57,22,44.0833,10.8833,5,3.84
1998,6,17,12,57,48.22,38.2923,12.8778,3.7,3.56
1998,6,10,19,57,57.46,43.1853,12.7792,3.4,3.66
1998,6,1,13,57,10.41,43.1868,12.7792,3.2,4.06
1999,2,14,5,57,58.8,46.662,7.5332,3,4.36
1997,9,27,4,57,15.6,43.0467,12.8667,2.6,3.86
2011,8,16,9,57,14,40.1,19.79,2,3.87
1992,8,20,0,57,21.23,38.789,17.8868,1.6,4.17
2017,8,21,18,57,51.78,40.7383,13.8977,1.5,3.96
1998,3,21,17,57,52.03,42.9542,12.9158,0.6,3.96
1986,8,29,14,57,0.06,46.3438,12.5317,0,4.73
1999,8,5,14,57,38.4,37.7223,15.0317,0,4.26
1962,8,30,16,57,35,41.3667,15.6667,0,4.04
1976,11,9,21,57,51,46.1667,12.75,0,4.04
1985,5,1,16,57,35,42.9455,13.7003,0,4.02
1989,8,21,8,57,49.36,37.7108,15.0263,0,3.99
1974,5,14,18,57,21,44.0833,10.75,0,3.84
1975,11,16,4,57,43,46.1333,12.45,0,3.83
1968,1,23,16,57,10,37.8,13,0,3.74
1968,1,26,7,57,40,37.8,13,0,3.74
1978,6,21,14,57,29,38.45,14.3833,0,3.64
1980,5,23,15,57,56,43.6333,16.8,0,3.64
1990,5,3,4,57,56.69,41.1448,14.8222,0,3.62
1977,2,4,20,57,5,46.25,12.7333,0,3.54
1968,10,29,2,57,17,46.9,10.5,0,3.5
1974,12,15,20,57,36,46,12.4,0,3.5
2011,2,15,0,56,49.91,39.591,15.044,347.7,3.55
1969,4,15,0,56,51,39.6333,14.8667,320,4.07
1983,6,3,13,56,15.66,37.4745,15.1213,75.2,4.17
1972,10,25,21,56,13,44.4167,9.9167,45,4.93
1978,4,10,9,56,29,43.9833,11.1333,36,3.54
1984,3,1,11,56,20.17,41.3435,13.8247,35.5,3.91
1979,11,1,14,56,36,38.75,14.05,35,3.64
1994,8,12,23,56,40.9,38.7042,12.7097,33.6,3.53
2021,7,11,10,56,21.68,44.4792,12.8108,32.6,4.09
2014,3,25,7,56,51.98,39.2902,16.5278,30.4,3.7
1968,1,25,9,56,47,37.7,13.1,30,5.15
1978,4,19,3,56,34,38.35,15.1,28,3.54
1993,9,20,23,56,0.61,37.4965,16.215,27.2,3.97
1980,11,24,7,56,33,40.7833,15.3333,27,3.82
2021,7,27,20,56,34.88,36.7258,14.3895,27,3.63
1996,2,28,6,56,32.22,41.8618,15.935,26,3.66
2014,10,13,11,56,40.5,36.206,11.3138,25.4,3.76
1980,6,15,5,56,18,38.4667,14,25,3.54
1980,11,26,6,56,56,40.9167,15.2167,24,4.2
1987,9,3,7,56,30.1,37.2528,13.5337,23.9,3.66
2019,11,26,5,56,21.94,41.474,19.5082,21.8,4.42
2008,7,3,20,56,52.82,38.44,13.673,21.4,3.51
1989,5,28,11,56,28.72,44.6242,7.2388,21.3,3.82
2002,10,31,22,56,55.87,41.721,14.8902,19.6,3.56
2002,10,31,16,56,43.26,41.7282,14.9098,17.7,3.86
2007,6,15,22,56,0.03,36.956,15.382,16.9,3.51
2002,10,31,11,56,38.35,41.7377,14.9377,16,3.86
2020,9,9,4,56,58.51,37.8368,12.8292,14.8,3.67
1976,5,8,9,56,22,46.4,13.0167,13,3.57
1965,3,15,8,56,0,44.7,8.7,12,3.94
2000,7,11,10,56,5,47.947,16.454,12,3.77
1993,7,17,8,56,48.99,44.2283,8.2302,11.5,3.54
2020,2,24,15,56,55.82,39.3847,15.0978,11.3,3.59
1980,6,14,20,56,49,41.7667,13.6833,11,4.96
2016,11,7,18,56,17,42.8882,13.1475,10.9,4.06
2016,10,28,15,56,59.13,42.7847,13.1138,10.9,3.92
2009,4,8,22,56,50.19,42.497,13.367,10.8,4.11
2016,10,30,6,56,5.76,42.7997,13.1095,10.3,4.27
1986,6,19,19,56,5.67,38.3508,13.716,10.1,3.65
1994,9,17,4,56,26.1,36.46,9.17,10,4.73
1994,7,23,20,56,48.93,41.3775,14.0428,10,4.71
1979,6,18,9,56,46,42.1167,18.7,10,4.62
2014,9,7,9,56,25,37.61,19.88,10,4.58
2003,3,30,0,56,24.4,43.17,15.434,10,4.24
1984,5,12,4,56,25.92,41.6703,13.8692,10,4.07
1984,5,24,19,56,28.37,46.4288,14.0548,10,3.99
1984,5,7,18,56,22.67,41.4813,13.5102,10,3.87
2009,4,6,21,56,53.93,42.384,13.342,10,3.87
2003,3,29,19,56,17.8,43.175,15.334,10,3.62
1989,7,18,19,56,8.33,47.5552,13.07,10,3.58
2016,10,30,8,56,44.67,42.7788,13.1442,10,3.51
2009,4,14,13,56,21.21,42.542,13.32,9.9,4
2016,10,30,6,56,38.11,42.8437,13.1453,9.7,3.55
2000,8,3,9,56,40.85,44.257,8.1898,9.4,4.28
2016,10,28,19,56,31.22,42.8617,13.1555,9.4,3.91
2017,1,18,13,56,32.27,42.531,13.2765,9.4,3.55
2009,4,6,3,56,45.7,42.335,13.386,9.3,4.53
2016,12,26,19,56,44.45,42.929,13.2037,9,3.57
2015,1,23,9,56,16.14,44.132,11.1318,8.8,3.51
2021,5,15,7,56,1.74,43.3617,12.5662,8.6,4.13
2016,11,1,7,56,40.34,42.9902,13.1345,8.3,4.95
2016,10,28,13,56,32.53,42.8653,13.21,8.3,3.85
1997,9,27,19,56,43.45,43.0362,12.8263,8.2,4.31
2002,4,18,20,56,48.67,40.5847,15.5467,7.9,4.34
2016,8,24,1,56,0.58,42.6008,13.2763,7.7,4.54
2016,10,28,13,56,39.53,42.8653,13.2083,7.4,3.56
1970,3,10,15,56,8,45.9667,14.4667,7,3.7
2016,12,9,12,56,59.78,43.425,16.3308,6.8,4.44
1984,11,5,7,56,0.1,45.2777,6.6138,6.6,4.11
1996,3,14,1,56,37.25,44.2192,11.4528,6.6,3.52
1995,7,23,22,56,12.96,36.6998,11.5485,5.8,3.81
2001,11,26,0,56,55.46,43.6,12.1087,5.5,4.63
1999,8,26,8,56,28.66,37.7795,15.1102,5,3.68
2012,6,12,15,56,3.02,44.8947,10.9212,5,3.51
2005,8,14,21,56,50.1,37.794,15.167,4.1,3.58
1997,11,22,4,56,8.01,47.3107,9.1817,2.5,3.88
2010,12,21,8,56,29,43.18,18.94,2,4.07
1999,7,10,7,56,42.77,44.271,10.8567,1.6,3.76
1994,10,12,2,56,21.11,39.7085,15.3643,1.4,3.91
1997,10,7,19,56,7.98,42.98,12.8787,1.1,3.96
1982,10,17,10,56,44.39,43.3355,13.0152,0,4.62
1972,5,30,23,56,20,43.8167,13.25,0,4.26
2001,4,22,13,56,35.33,37.7227,14.9893,0,4.19
1966,5,26,17,56,54,43.5,11.5,0,4.16
1964,8,2,8,56,3,43,13,0,4.14
1976,12,14,8,56,56,46.0167,10.6333,0,3.9
1974,2,27,23,56,44,37.4667,15.5,0,3.84
1974,11,27,12,56,3,46.7,10.8667,0,3.84
1976,4,3,5,56,53,38.6833,17.3167,0,3.84
1963,7,24,2,56,0,42.6333,13.3,0,3.8
2001,7,13,4,56,17.71,37.6995,15.073,0,3.78
1985,9,24,22,56,18.5,39.5947,18.7532,0,3.76
2000,3,20,14,56,8.73,42.7427,17.822,0,3.76
1996,10,26,4,56,54.1,44.853,10.6997,0,3.73
1999,6,2,11,56,7.15,38.6923,14.057,0,3.66
1970,5,25,12,56,0,42.5667,12.65,0,3.64
1984,5,11,14,56,49.95,41.6447,13.8803,0,3.64
1996,1,9,23,56,19.27,43.0597,13.4662,0,3.62
1972,2,17,8,56,2,43.6333,13.4167,0,3.54
1984,5,3,8,56,49.61,46.07,6.6223,0,3.51
2019,9,21,19,55,44.22,40.3645,15.1498,327.5,4.42
2012,8,14,8,55,3.98,39.4392,15.5093,288.8,3.92
2007,7,4,23,55,32.57,38.831,15.265,279.3,5.25
1975,8,10,20,55,50,38.4667,15.5333,186,4.68
2011,1,14,2,55,33.12,38.985,15.763,110.9,3.79
1962,8,21,15,55,46,41.1333,15.1167,49,4.61
1988,4,26,1,55,37.55,42.2935,16.6667,38.1,4.17
1977,7,24,9,55,29,41.3167,14.8667,33,4.19
1974,7,18,16,55,21,44.8,7.9,33,3.54
2006,11,23,13,55,43.47,35.943,12.687,32.5,3.6
2006,10,21,8,55,17.7,43.601,12.96,32.4,3.63
2000,2,19,13,55,46.46,44.2497,11.782,31.9,3.66
2004,3,11,12,55,1,38.477,19.879,30,4.3
2013,8,27,2,55,29.22,41.2065,10.2478,29.3,3.5
1992,9,27,11,55,15.73,37.8093,14.5887,27.1,4.28
2006,6,19,20,55,34.74,37.829,14.891,26.4,3.77
1980,11,26,14,55,41,40.9667,15.4,24,4.37
2016,5,7,9,55,32.87,37.1202,14.7543,23.7,3.55
2007,3,26,13,55,26.41,39.28,16.964,22.9,3.96
2001,1,23,16,55,33.48,37.1592,15.194,22.9,3.86
1981,1,20,8,55,5.82,40.7003,15.3265,21.9,4.05
1969,1,7,1,55,0,44.0667,10.7333,21,3.84
2018,8,10,11,55,32.18,38.481,14.3265,20.9,3.54
1975,11,13,19,55,14,44.6333,9.4333,20,4.33
1979,5,29,23,55,53,39.45,16.4167,19,3.54
1991,8,20,23,55,5.62,37.8938,14.9775,19,3.52
2014,1,20,7,55,57.42,41.3648,14.4503,18,3.9
1987,7,3,11,55,24.88,43.2207,13.8202,17.7,4.02
2009,6,18,11,55,17.42,44.557,10.558,17.1,3.63
1976,9,2,12,55,11,44.55,9.6,17,3.64
2005,5,21,19,55,19,40.991,14.515,16.1,3.99
2000,2,21,18,55,27.54,35.594,14.039,15.3,3.68
1998,4,12,10,55,32.86,46.2827,13.5707,14.6,5.64
2019,12,7,21,55,38.13,42.4628,13.2633,13.7,4
1976,9,15,3,55,48,46.2667,13.1,13,3.51
1997,10,3,8,55,22.07,43.0427,12.8245,12.1,5.22
1979,10,2,2,55,4,42.7667,13.0833,12,3.71
2009,5,30,2,55,10.08,42.35,13.339,11,3.76
2016,10,30,6,55,41.04,42.7137,13.1953,11,3.64
2016,10,30,6,55,54.16,42.7513,13.2273,10.7,4.16
2019,4,5,2,55,3.61,38.6595,14.2003,10.5,3.76
2000,5,19,7,55,59.76,40.834,15.3378,10.4,3.76
2012,5,31,18,55,13.76,44.8787,10.9785,10.4,3.69
2016,1,16,18,55,11.87,41.5272,14.5987,10.2,4.42
1993,7,17,5,55,49.57,44.2267,8.2232,10.1,3.54
1998,5,16,10,55,12,43.57,18.23,10,4.35
1981,3,17,14,55,10.51,38.1523,14.864,10,4.1
1993,7,18,22,55,59.81,42.3232,13.5858,10,3.85
1971,1,6,10,55,22,45.1,9.4,10,3.74
1980,12,28,0,55,40,41.75,13.25,10,3.72
1995,5,13,18,55,36.91,40.3338,18.1122,10,3.69
2013,5,21,22,55,6.25,43.0472,18.5765,10,3.67
2013,3,11,20,55,23.55,39.2387,18.8043,10,3.64
2003,3,30,6,55,44,43.198,15.447,10,3.62
2003,3,27,14,55,15.2,43.266,15.643,10,3.58
1980,3,22,18,55,57,42.8167,13.05,10,3.5
2021,4,1,6,55,47.58,42.6358,16.2592,9.7,4.13
2009,9,15,22,55,43.98,41.97,14.216,9.2,3.51
2001,3,3,1,55,3,41.3,9.8,9,4
1967,9,5,17,55,0,45.5833,14.4167,9,3.8
1978,4,26,17,55,16,45.7333,6.8667,9,3.54
2016,8,28,15,55,35.39,42.8232,13.2323,8.7,4.35
1995,3,8,8,55,8.58,37.8152,15.5528,8.7,4.06
2012,6,4,6,55,49.5,44.8812,10.9658,8.5,3.86
2017,2,12,13,55,21.01,43.0078,13.0363,8.2,3.73
2019,3,28,9,55,37.6,43.1038,13.9463,8.2,3.73
1969,7,2,7,55,43,42.1833,12,8,4.3
2007,10,21,3,55,36.43,42.401,12.963,8,4.19
1972,2,7,4,55,5,43.6167,13.5333,8,3.54
2011,1,13,18,55,17.67,42.109,13.334,7.9,3.58
1991,12,22,8,55,36.07,37.984,14.7003,7.8,3.66
2016,8,24,2,55,39.9,42.6463,13.3087,7.5,3.69
2011,7,13,9,55,12.31,42.439,12.706,6.9,3.93
1998,5,20,9,55,54.67,38.6368,12.7062,6.8,4.06
2008,10,27,10,55,55.24,38.165,15.169,6.6,3.8
2016,8,24,1,55,44.63,42.7217,13.2497,6.3,3.56
1974,12,2,1,55,15,43,13,5,4.43
1969,8,11,13,55,8,43.0333,12.2,5,4.16
2003,4,1,10,55,22.6,43.109,15.477,5,3.99
2013,5,21,22,55,4,43.04,18.89,5,3.77
1978,9,30,18,55,46,45.1,9.2333,5,3.64
2012,5,29,10,55,56.55,44.8652,10.9795,4.4,5.49
1972,6,14,18,55,46,43.65,13.6,3,4.67
2012,3,13,14,55,57,40.09,19.9,2,3.52
1996,10,15,9,55,59.95,44.7988,10.6787,1.3,5.38
1994,12,14,8,55,58.99,45.9148,6.5022,0,4.54
1962,12,14,13,55,0,41.6667,13.7167,0,4.5
