165.121,-46.2368
165.0173,-45.9211
165.1901,-45.3947
165.5012,-44.9737
169.1993,-41.7632
172.932,-38.4474
173.3468,-37.5
173.3122,-37.1842
172.068,-35.7105
171.8952,-35.1842
171.7224,-35.1316
171.4804,-34.5
171.6878,-33.9211
172.1717,-33.5526
172.621,-33.4474
173.2776,-33.4474
173.9343,-33.8158
174.9712,-34.4474
175.5933,-35.1842
176.3882,-35.5
176.7339,-36.0263
176.8721,-36.2895
177.1141,-36.8684
177.9781,-36.6053
179.015,-36.7632
179.6717,-37.1842
179.7753,-37.8684
179.4988,-38.9737
179.3606,-39.1316
179.1532,-39.6053
179.0841,-39.8158
178.6694,-40.0789
178.2546,-40.2368
177.8399,-40.8684
177.3214,-41.6053
176.8721,-42.0263
175.9389,-42.5
175.144,-42.6579
174.6601,-43.2368
174.4528,-43.5526
174.4528,-44.0789
173.9689,-44.7105
173.1048,-44.8684
172.621,-44.9211
172.4827,-45.3421
172.2408,-45.6579
172.2062,-45.9211
172.0334,-46.4474
171.515,-46.7632
171.3767,-46.8158
170.5127,-47.3947
169.856,-47.5526
169.5449,-47.6053
168.9228,-47.9737
168.0933,-48.1842
167.3675,-48.2895
166.6417,-48.1316
165.985,-47.5
165.121,-46.2368
