source_id,source_magnitude,source_completeness_above_ref,source_to_end_time_distance,pos_source_to_start_time_distance,l_hat,G
0,4.1000000000000005,0.0,12781.53013611111,2189.530136111111,0.025450397816314523,0.024751944032275063
1,3.7,0.0,12779.00286574074,2187.0028657407406,0.0044520328380180255,0.015091080951609154
2,3.9000000000000004,0.0,12778.315373032407,2186.3153730324075,0.02074037161611727,0.019345107948141704
3,4.0,0.0,12778.158649768518,2186.1586497685184,0.022947833391368324,0.021900680449802614
4,4.0,0.0,12777.60032986111,2185.6003298611113,0.031088743893914517,0.021906546754010773
5,3.8000000000000003,0.0,12776.004310300927,2184.004310300926,0.031155296712430152,0.01710798601404656
6,3.7,0.0,12775.970416550927,2183.970416550926,0.15663013868716658,0.015113050966978073
7,3.7,0.0,12775.656853587963,2183.656853587963,0.010779048309196375,0.015115325323036836
8,3.8000000000000003,0.0,12775.568620717593,2183.5686207175927,0.011000624732137676,0.01711156345727789
9,3.7,0.0,12773.98430474537,2181.9843047453705,0.019126201398802768,0.015127465014834855
10,3.6,0.0,12773.226420717592,2181.2264207175926,0.04872441641781033,0.01336812140719408
11,3.7,0.0,12770.912635416667,2178.9126354166665,0.0020169385949338034,0.015149796043647001
12,4.1000000000000005,0.0,12769.200505208333,2177.200505208333,0.03421807495223049,0.02489884819267367
13,3.7,0.0,12763.177754629629,2171.17775462963,0.046294011942657295,0.015206237364471345
14,3.6,0.0,12762.621612615741,2170.6216126157406,0.028134181780331658,0.013436438815522455
15,4.1000000000000005,0.0,12762.181402199074,2170.181402199074,0.07299143073375856,0.024983034964932396
16,4.1000000000000005,0.0,12761.81520949074,2169.815209490741,0.003828454761383767,0.024987438209092338
17,3.7,0.0,12756.986218287037,2164.986218287037,0.002279706508931471,0.015251633500356875
18,3.7,0.0,12755.954128819445,2163.9541288194446,0.003941739207449746,0.015259219566246212
19,3.6,0.0,12753.624467592592,2161.6244675925927,0.045558040506108906,0.013494791000971642
20,3.6,0.0,12753.519357638888,2161.519357638889,0.04895246660322659,0.013495474843733674
21,3.7,0.0,12753.271706828704,2161.271706828704,0.02659554192090203,0.015278961146479962
22,3.7,0.0,12753.180132060184,2161.1801320601853,0.06692804773617887,0.015279635745327013
23,3.7,0.0,12753.006934837964,2161.006934837963,0.09476444819301034,0.015280911744263218
24,3.9000000000000004,0.0,12750.506513657407,2158.5065136574076,0.026657032470566257,0.019605620432821356
25,3.9000000000000004,0.0,12748.695460648149,2156.695460648148,0.03566744000076824,0.019622759776045235
26,4.1000000000000005,0.0,12745.125757175925,2153.125757175926,0.051435174156265945,0.02518930151686363
27,4.3,0.0,12737.46288773148,2145.4628877314813,0.012363514441750394,0.03239904610940745
29,4.5,0.0,12727.458388310186,2135.458388310185,0.0450871747692034,0.04171994535657128
30,4.3,0.0,12725.731279050926,2133.731279050926,0.5998279474075503,0.03258365320173587
31,3.6,0.0,12722.259591435186,2130.259591435185,0.1255458200266538,0.01370107143704472
32,3.7,0.0,12716.401171990741,2124.4011719907407,0.06242117631987294,0.015554058983026716
33,4.0,0.0,12714.001608564815,2122.001608564815,0.2899037319648094,0.022589759491689933
36,3.8000000000000003,0.0,12698.684716435186,2106.6847164351852,0.0009043777132764991,0.017759997498706583
37,3.6,0.0,12696.617241666667,2104.617241666667,0.0561429613599931,0.013873092815788458
38,3.6,0.0,12696.226937847223,2104.2269378472224,0.013885718653207244,0.01387573510085025
42,3.7,0.0,12694.919879976851,2102.919879976852,0.0016933175180295435,0.01571762161786056
43,3.8000000000000003,0.0,12688.56454224537,2096.5645422453704,0.10877967759590604,0.01784796602773024
44,4.1000000000000005,0.0,12686.502199074073,2094.5021990740743,0.018187290767614127,0.025917195357158647
45,4.3,0.0,12673.861880324073,2081.8618803240743,0.05675484453114959,0.03341824012393991
46,3.6,0.0,12673.287371527778,2081.287371527778,0.010401347998153636,0.014032314058543926
47,3.6,0.0,12668.708798726851,2076.708798726852,0.004273694826051072,0.014063870927461137
48,4.7,0.0,12668.022829861111,2076.022829861111,0.451264426390933,0.05503550490647602
49,4.2,0.0,12667.716556712963,2075.7165567129628,0.24678545261894583,0.029610056881046565
50,4.0,0.0,12667.413181712964,2075.413181712963,0.18318807948430915,0.02310980732824253
51,3.6,0.0,12665.236339236111,2073.2363392361112,0.002503742455701518,0.014087872512092092
52,4.7,0.0,12665.04101388889,2073.0410138888888,0.007871275562286234,0.05511615615492613
53,3.6,0.0,12665.021295833334,2073.021295833333,0.0006958143525104066,0.014089360833639849
54,3.9000000000000004,0.0,12655.628193171297,2063.6281931712965,0.030896487997765044,0.0205333022893625
55,3.6,0.0,12654.071225694444,2062.0712256944444,0.0019281476085768324,0.014165447999245575
56,3.6,0.0,12647.024992476852,2055.024992476852,0.10180186383086452,0.014214723776018536
57,3.9000000000000004,0.0,12645.851274189814,2053.851274189815,0.0008557882946784907,0.020632472483772618
60,3.7,0.0,12643.505901157407,2051.5059011574076,0.0012918151065983818,0.016119304549027297
61,3.7,0.0,12642.365444212963,2050.3654442129628,0.07515197463978703,0.016128382118773068
62,3.6,0.0,12639.735065972221,2047.7350659722222,0.015748940604387935,0.014265965385838908
63,3.7,0.0,12639.11216701389,2047.112167013889,0.006850077168956605,0.01615431760776085
64,3.8000000000000003,0.0,12632.177520833333,2040.1775208333333,0.11560312729692987,0.018349809270623976
65,3.6,0.0,12623.832959143518,2031.8329591435186,0.00524515096465964,0.01437867608616661
68,4.0,0.0,12614.058618518518,2022.0586185185184,0.002431328087503687,0.023726894168821146
69,4.1000000000000005,0.0,12610.310287268518,2018.3102872685186,0.13135106730339274,0.0269093898089743
70,4.0,0.0,12602.53902199074,2010.5390219907408,0.0024255149265332665,0.023863262561947405
73,3.6,0.0,12594.20232199074,2002.2023219907408,0.02502192615017391,0.014592170642958214
