target_id,latitude,longitude,time,magnitude,mc_current,mc_current_above_ref,mu,P_triggered,P_background,zeta_plus_1
1415,-40.6291,175.8803,2014-03-08 17:52:07.923,3.8000000000000003,3.5,0.0,1.5264226889076911e-07,0.9991464667957393,0.0008535332042606809,1.0
1416,-39.7713,176.9721,2014-03-16 12:11:30.259,3.8000000000000003,3.5,0.0,1.5264226889076911e-07,0.8838051655555811,0.11619483444441896,1.0
1417,-41.8169,174.3973,2014-03-19 09:11:30.742,3.7,3.5,0.0,1.5264226889076911e-07,0.954815438249181,0.045184561750819,1.0
1418,-43.5782,172.1372,2014-03-20 04:41:48.712,3.5,3.5,0.0,1.5264226889076911e-07,0.98126604382898,0.018733956171019934,1.0
1419,-40.6559,175.8847,2014-03-24 13:14:56.720,3.5,3.5,0.0,1.5264226889076911e-07,0.9991273482249172,0.0008726517750827095,1.0
1420,-40.6402,175.8949,2014-03-28 05:24:19.150,3.6,3.5,0.0,1.5264226889076911e-07,0.9995880697629134,0.000411930237086657,1.0
1421,-39.957,176.6014,2014-03-29 00:41:07.802,3.7,3.5,0.0,1.5264226889076911e-07,0.13132601201164462,0.8686739879883553,1.0
1422,-43.5733,172.7089,2014-03-29 21:25:25.329,3.8000000000000003,3.5,0.0,1.5264226889076911e-07,0.9963749487461533,0.0036250512538467308,1.0
1423,-39.9703,176.5519,2014-03-31 01:01:19.473,5.2,3.5,0.0,1.5264226889076911e-07,0.9970497285376911,0.002950271462308877,1.0
1424,-39.9307,176.5279,2014-03-31 01:01:59.514,4.1000000000000005,3.5,0.0,1.5264226889076911e-07,0.9999991073666753,8.926333247809617e-07,1.0
1425,-39.9508,176.5903,2014-03-31 01:03:41.863,4.0,3.5,0.0,1.5264226889076911e-07,0.9999992970357293,7.029642706365103e-07,1.0
1426,-39.9708,176.5887,2014-03-31 01:05:50.739,3.8000000000000003,3.5,0.0,1.5264226889076911e-07,0.9999995876889932,4.1231100692384974e-07,1.0
